"campaign","identifier","cell","block","estimator","metric","tau","value","mc_se","wilson_lo","wilson_hi","n","commit"
"mddina","dina","md40 n500","H","naive","share_lower_ge_tau",80,0.038577154,0.00431064,0.0309765,0.0479505,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","share_lower_ge_tau",100,0.003507014,0.0013232,0.00169983,0.0072216,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","bound_mean",,50.801655,0.366963,,,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","bound_q05",,24.522667,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","bound_q25",,39.834531,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","bound_q50",,50.727834,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","bound_q75",,61.341818,,,,1996,"1856c107"
"mddina","dina","md40 n500","H","naive","bound_q95",,77.525032,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","bias_md",,-16.964246,0.266677,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","bias_sd_units",,-1.424773,0.0223974,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","sd_emp",,11.906631,0.188496,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","se_mean",,13.160407,0.0171461,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","se_over_sd",,1.1053007,0.0175574,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","cov1_upper",,0.65881764,0.010612,0.637731,0.679294,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","cov2",,0.77755511,0.00930886,0.758787,0.795257,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","halfwidth_md",,25.793924,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","naive","margin1_md",,21.646943,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","bias_md",,-0.23388021,0.320533,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","bias_sd_units",,-0.016332057,0.0223831,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","sd_emp",,14.320315,0.226708,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","se_mean",,14.419438,0.0138005,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","se_over_sd",,1.0069219,0.0159699,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","cov1_upper",,0.95791583,0.0044941,0.948193,0.96588,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","cov2",,0.95340681,0.00471759,0.943257,0.961814,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","halfwidth_md",,28.262099,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","oracle","margin1_md",,23.717865,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","bias_md",,-6.7280393,0.290402,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","bias_sd_units",,-0.51913235,0.0224073,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","sd_emp",,12.960162,0.205175,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","se_mean",,23.90373,0.0243414,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","se_over_sd",,1.8444006,0.0292594,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","cov1_upper",,0.99098196,0.00211597,0.98579,0.994288,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","cov2",,1,0,0.998079,1,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","halfwidth_md",,46.85045,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","mr","margin1_md",,39.318137,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","bias_md",,-4.6302045,0.29776,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","bias_sd_units",,-0.34842934,0.0224069,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","sd_emp",,13.28879,0.210377,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","se_mean",,12.888722,0.0123501,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","se_over_sd",,0.9698943,0.0153827,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","cov1_upper",,0.89428858,0.00688208,0.880034,0.907028,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","cov2",,0.92985972,0.00571626,0.917811,0.940257,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","halfwidth_md",,25.153869,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld","margin1_md",,23.327842,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","bias_md",,-4.637733,0.297187,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","bias_sd_units",,-0.34967998,0.0224075,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","sd_emp",,13.262792,0.209966,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","se_mean",,12.926769,0.0179777,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","se_over_sd",,0.97466423,0.0154895,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","cov1_upper",,0.89679359,0.00680956,0.882676,0.909387,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","cov2",,0.93336673,0.00558202,0.921573,0.943496,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","halfwidth_md",,25.220429,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","margin1_md",,23.345905,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","share_upper_le_tau",0,0,0,0,0.00192088,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","share_upper_le_tau",10,0.005511022,0.00165705,0.00308006,0.00984169,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","share_upper_le_tau",20,0.024048096,0.00342905,0.018186,0.0317387,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","share_upper_le_tau",30,0.094188377,0.00653789,0.0821425,0.107793,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","share_upper_le_tau",40,0.27104208,0.00994923,0.251996,0.290968,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","share_upper_le_tau",60,0.82965932,0.00841451,0.812538,0.845515,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","share_upper_le_tau",80,0.99599198,0.00141421,0.992111,0.997968,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","share_upper_le_tau",100,1,0,0.998079,1,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","bound_mean",,47.43646,0.295108,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","bound_q05",,25.781074,,,,1996,"1856c107"
"mddina","dina","md40 n500","Hc","fld_s","bound_q25",,38.963049,,,,1996,"1856c107"
