"sim","seed","errored","error_msg","any.H","size.H","sg.def","p.cens","n_candidates_total","n_passed","hr.itt","warnings","seconds"
153,8317104,FALSE,NA,1,62,"!{nodes <= 5} & {er <= 8}",0.56268221574344,54,2,0.663356600214065,"",4.385
154,8317105,FALSE,NA,1,84,"{grade3} & !{age <= 54}",0.588921282798834,139,4,0.713744928643949,"",4.595
155,8317106,FALSE,NA,0,0,"",0.590379008746356,90,0,0.705269218653487,"",4.031
156,8317107,FALSE,NA,1,143,"!{pgr <= 43} & !{age <= 53}",0.545189504373178,189,3,0.744936786780619,"",5.511
157,8317108,FALSE,NA,0,0,"",0.572886297376093,43,0,0.642406041725792,"",4.056
158,8317109,FALSE,NA,0,0,"",0.553935860058309,43,0,0.660945728282087,"",4.284
159,8317110,FALSE,NA,1,64,"{pgr <= 12} & !{pgr <= 7}",0.534985422740525,92,1,0.75890746712176,"",4.404
160,8317111,FALSE,NA,0,0,"",0.581632653061224,35,0,0.730879992452856,"",3.697
161,8317112,FALSE,NA,0,0,"",0.578717201166181,78,0,0.726141000291343,"",3.929
162,8317113,FALSE,NA,0,0,"",0.567055393586006,17,0,0.622684128847523,"",3.807
163,8317114,FALSE,NA,0,0,"",0.571428571428571,34,0,0.710408044370346,"",3.916
164,8317115,FALSE,NA,0,0,"",0.578717201166181,14,0,0.525710789480931,"",3.928
165,8317116,FALSE,NA,0,0,"",0.599125364431487,102,0,0.728509020009784,"",3.786
166,8317117,FALSE,NA,1,61,"!{pgr <= 80} & {pgr <= 117}",0.571428571428571,11,1,0.570436571166209,"",3.834
167,8317118,FALSE,NA,1,77,"!{nodes <= 7} & !{er <= 29}",0.533527696793003,131,1,0.732653442532647,"",4.872
168,8317119,FALSE,NA,0,0,"",0.561224489795918,191,0,0.849844104509098,"",4.94799999999999
169,8317120,FALSE,NA,0,0,"",0.591836734693878,35,0,0.639644154452446,"",3.70500000000001
170,8317121,FALSE,NA,0,0,"",0.548104956268222,55,0,0.710372195641241,"",3.88799999999999
171,8317122,FALSE,NA,1,138,"!{pgr <= 80} & !{nodes <= 2}",0.555393586005831,221,29,0.785741746575616,"",5.49900000000001
172,8317123,FALSE,NA,0,0,"",0.583090379008746,67,0,0.669306124316599,"",4.11499999999999
173,8317124,FALSE,NA,0,0,"",0.580174927113703,30,0,0.603632126908146,"",3.79299999999999
174,8317125,FALSE,NA,0,0,"",0.553935860058309,50,0,0.730306259946068,"",3.816
175,8317126,FALSE,NA,1,61,"!{pgr <= 77} & {pgr <= 117}",0.603498542274052,44,1,0.723563501592312,"",3.928
176,8317127,FALSE,NA,0,0,"",0.565597667638484,63,0,0.752161645484106,"",4.05699999999999
177,8317128,FALSE,NA,1,102,"{pgr <= 9} & {size <= 29}",0.581632653061224,152,4,0.803129707727185,"",4.678
178,8317129,FALSE,NA,1,127,"!{pgr <= 77} & {size <= 26}",0.5466472303207,190,1,0.856100015245443,"",5.14500000000001
179,8317130,FALSE,NA,1,88,"{age <= 46} & !{size <= 25}",0.594752186588921,76,1,0.70797021352309,"",4.43100000000001
180,8317131,FALSE,NA,0,0,"",0.572886297376093,17,0,0.611288849846386,"",3.75700000000001
181,8317132,FALSE,NA,0,0,"",0.574344023323615,30,0,0.694662565757712,"",3.828
182,8317133,FALSE,NA,0,0,"",0.581632653061224,25,0,0.656982822361558,"",3.84199999999998
183,8317134,FALSE,NA,0,0,"",0.568513119533528,39,0,0.695193631925344,"",3.61500000000001
184,8317135,FALSE,NA,0,0,"",0.580174927113703,62,0,0.683586592625555,"",3.904
185,8317136,FALSE,NA,1,69,"{nodes <= 7} & !{nodes <= 5}",0.590379008746356,250,2,0.840721249912401,"",5.68699999999998
186,8317137,FALSE,NA,0,0,"",0.596209912536443,12,0,0.648250335010414,"",3.85400000000001
187,8317138,FALSE,NA,0,0,"",0.590379008746356,41,0,0.698055166338515,"",3.58399999999997
188,8317139,FALSE,NA,0,0,"",0.580174927113703,58,0,0.618237844092551,"",4.011
189,8317140,FALSE,NA,0,0,"",0.571428571428571,115,0,0.711759747485585,"",4.42000000000002
190,8317141,FALSE,NA,1,78,"!{meno} & {size <= 20}",0.581632653061224,75,1,0.69488674562402,"",4.25099999999998
191,8317142,FALSE,NA,0,0,"",0.581632653061224,150,0,0.791583430909476,"",4.97200000000001
192,8317143,FALSE,NA,0,0,"",0.549562682215743,9,0,0.608713875727219,"",3.626
193,8317144,FALSE,NA,0,0,"",0.578717201166181,30,0,0.732190592455552,"",3.73999999999998
194,8317145,FALSE,NA,1,105,"{size <= 20} & !{pgr <= 25}",0.593294460641399,90,1,0.741055997274145,"",4.131
195,8317146,FALSE,NA,1,70,"{pgr <= 3} & {size <= 29}",0.572886297376093,193,2,0.803222901050932,"",5.393
196,8317147,FALSE,NA,0,0,"",0.575801749271137,31,0,0.645293824247361,"",4.06799999999998
197,8317148,FALSE,NA,0,0,"",0.56268221574344,27,0,0.674898046309542,"",3.58799999999999
198,8317149,FALSE,NA,0,0,"",0.584548104956268,57,0,0.672649652201562,"",4.10700000000003
199,8317150,FALSE,NA,0,0,"",0.571428571428571,156,0,0.811736472168165,"",4.92399999999998
200,8317151,FALSE,NA,0,0,"",0.571428571428571,78,0,0.709029956722502,"",4.227
201,8317152,FALSE,NA,0,0,"",0.534985422740525,21,0,0.602570204556456,"",3.73699999999999
202,8317153,FALSE,NA,0,0,"",0.588921282798834,53,0,0.654275332100285,"",4.16
203,8317154,FALSE,NA,0,0,"",0.581632653061224,34,0,0.680983020267818,"",3.26900000000001
204,8317155,FALSE,NA,1,82,"{size <= 20} & !{er <= 45}",0.571428571428571,89,1,0.615504751064436,"",4.40699999999998
205,8317156,FALSE,NA,0,0,"",0.581632653061224,NA,NA,0.515782046952946,"",3.214
206,8317157,FALSE,NA,0,0,"",0.594752186588921,34,0,0.665988554335318,"",3.65999999999997
207,8317158,FALSE,NA,0,0,"",0.565597667638484,14,0,0.608664771799439,"",4.05100000000004
208,8317159,FALSE,NA,0,0,"",0.569970845481049,75,0,0.714136630947933,"",4.07799999999997
209,8317160,FALSE,NA,1,92,"!{grade3} & !{size <= 35}",0.575801749271137,289,4,0.859059708369471,"",6.11400000000003
210,8317161,FALSE,NA,1,86,"!{nodes <= 7} & {er <= 30}",0.559766763848397,108,1,0.751626074960488,"",4.33300000000003
211,8317162,FALSE,NA,0,0,"",0.568513119533528,11,0,0.622761664835045,"",3.661
212,8317163,FALSE,NA,0,0,"",0.537900874635568,36,0,0.642259646135648,"",4.04900000000004
213,8317164,FALSE,NA,0,0,"",0.567055393586006,131,0,0.74964526239305,"",4.55200000000002
214,8317165,FALSE,NA,0,0,"",0.584548104956268,168,0,0.778640551404227,"",5.06999999999999
215,8317166,FALSE,NA,0,0,"",0.574344023323615,29,0,0.69021989669559,"",4.489
216,8317167,FALSE,NA,1,67,"!{size <= 35} & !{pgr <= 41}",0.56268221574344,116,1,0.768941565223229,"",4.787
