declcal power curve -- declaration rate P(max_T_pre >= k), Wilson 95% intervals, R = 2000 per cell
source: quarto/simulations/gbsg_020/results/declcal_{bnull,inull,power}_*_res_1_2000.rds; generated 2026-09-22 16:33 PDT
fixed k: literal cutoffs on max_T_pre; calibrated: per-replicate cutoff max_T_pre >= Mstar_q{90,95,99}
bnull_same_k: boundary (complete) null rate at the same rule, matched by n (n500 -> A1, n1000 -> A2, n1500 -> A3)

| cell | DGM | n | rule | declaration rate [Wilson 95%] | bnull cell | bnull rate at same rule [Wilson 95%] |
| B6 | uniform benefit HR 0.721 | 1500 | k = 3.6000 | 0.0000 [0.0000, 0.0019] | A3 | 0.0330 [0.0260, 0.0418] |
| B6 | uniform benefit HR 0.721 | 1500 | cal a=0.10 (Mstar_q90) | 0.0000 [0.0000, 0.0019] | A3 | 0.0840 [0.0726, 0.0970] |
| B6 | uniform benefit HR 0.721 | 1500 | cal a=0.05 (Mstar_q95) | 0.0000 [0.0000, 0.0019] | A3 | 0.0430 [0.0350, 0.0528] |
| B6 | uniform benefit HR 0.721 | 1500 | cal a=0.01 (Mstar_q99) | 0.0000 [0.0000, 0.0019] | A3 | 0.0100 [0.0065, 0.0154] |
| C1 | planted harm HR 1.5 | 1000 | k = 1.6449 | 0.6930 [0.6724, 0.7128] | A2 | 0.9425 [0.9314, 0.9519] |
| C1 | planted harm HR 1.5 | 1000 | k = 1.8000 | 0.6220 [0.6005, 0.6430] | A2 | 0.8965 [0.8824, 0.9091] |
| C1 | planted harm HR 1.5 | 1000 | k = 2.0000 | 0.5305 [0.5086, 0.5523] | A2 | 0.8195 [0.8020, 0.8357] |
| C1 | planted harm HR 1.5 | 1000 | k = 2.2000 | 0.4435 [0.4219, 0.4654] | A2 | 0.7070 [0.6867, 0.7265] |
| C1 | planted harm HR 1.5 | 1000 | k = 2.4000 | 0.3475 [0.3269, 0.3686] | A2 | 0.5800 [0.5582, 0.6015] |
| C1 | planted harm HR 1.5 | 1000 | k = 2.6000 | 0.2650 [0.2461, 0.2848] | A2 | 0.4415 [0.4199, 0.4634] |
| C1 | planted harm HR 1.5 | 1000 | k = 2.8000 | 0.2000 [0.1831, 0.2181] | A2 | 0.3080 [0.2882, 0.3286] |
| C1 | planted harm HR 1.5 | 1000 | k = 3.0000 | 0.1460 [0.1312, 0.1622] | A2 | 0.2065 [0.1893, 0.2248] |
| C1 | planted harm HR 1.5 | 1000 | k = 3.2000 | 0.1055 [0.0928, 0.1197] | A2 | 0.1295 [0.1155, 0.1449] |
| C1 | planted harm HR 1.5 | 1000 | k = 3.4000 | 0.0740 [0.0633, 0.0863] | A2 | 0.0740 [0.0633, 0.0863] |
| C1 | planted harm HR 1.5 | 1000 | k = 3.6000 | 0.0480 [0.0395, 0.0583] | A2 | 0.0410 [0.0332, 0.0506] |
| C1 | planted harm HR 1.5 | 1000 | cal a=0.10 (Mstar_q90) | 0.0825 [0.0712, 0.0954] | A2 | 0.0950 [0.0829, 0.1086] |
| C1 | planted harm HR 1.5 | 1000 | cal a=0.05 (Mstar_q95) | 0.0495 [0.0408, 0.0599] | A2 | 0.0490 [0.0404, 0.0594] |
| C1 | planted harm HR 1.5 | 1000 | cal a=0.01 (Mstar_q99) | 0.0205 [0.0151, 0.0277] | A2 | 0.0090 [0.0057, 0.0142] |
| C2 | planted harm HR 1.5 | 1500 | k = 1.6449 | 0.7870 [0.7685, 0.8044] | A3 | 0.9420 [0.9309, 0.9514] |
| C2 | planted harm HR 1.5 | 1500 | k = 1.8000 | 0.7310 [0.7111, 0.7500] | A3 | 0.8955 [0.8813, 0.9082] |
| C2 | planted harm HR 1.5 | 1500 | k = 2.0000 | 0.6500 [0.6288, 0.6706] | A3 | 0.8125 [0.7948, 0.8290] |
