"table","row","col","alpha","c0","cell","design_hr","n","value","count","denominator","source_column","source_payload"
"S5","conventional","C2",0.05,,"C2","1.5","1500",0.7905,1581,2000,"declared_conv","declcalc0_power_C2_res_1_2000.rds"
"S5","conventional","C3",0.05,,"C3","2","1000",0.9635,1927,2000,"declared_conv","declcalc0_power_C3_res_1_2000.rds"
"S5","conventional","C4",0.05,,"C4","2","1500",0.988,1976,2000,"declared_conv","declcalc0_power_C4_res_1_2000.rds"
"S5","fixed_k2.0","B1",0.05,,"B1","0.657","500",0.029,58,2000,"max_T_post>=2.0","declcalc0_inull_B1_res_1_2000.rds"
"S5","fixed_k2.0","B2",0.05,,"B2","0.657","1000",0.0105,21,2000,"max_T_post>=2.0","declcalc0_inull_B2_res_1_2000.rds"
"S5","fixed_k2.0","B3",0.05,,"B3","0.657","1500",0.0025,5,2000,"max_T_post>=2.0","declcalc0_inull_B3_res_1_2000.rds"
"S5","fixed_k2.0","B4",0.05,,"B4","0.721","500",0.0725,145,2000,"max_T_post>=2.0","declcalc0_inull_B4_res_1_2000.rds"
"S5","fixed_k2.0","B5",0.05,,"B5","0.721","1000",0.0305,61,2000,"max_T_post>=2.0","declcalc0_inull_B5_res_1_2000.rds"
"S5","fixed_k2.0","B6",0.05,,"B6","0.721","1500",0.0065,13,2000,"max_T_post>=2.0","declcalc0_inull_B6_res_1_2000.rds"
"S5","fixed_k2.0","max_B",0.05,,"B4","0.721","500",0.0725,145,2000,"max_T_post>=2.0","declcalc0_inull_B4_res_1_2000.rds"
"S5","fixed_k2.0","C1",0.05,,"C1","1.5","1000",0.5255,1051,2000,"max_T_post>=2.0","declcalc0_power_C1_res_1_2000.rds"
"S5","fixed_k2.0","C2",0.05,,"C2","1.5","1500",0.6475,1295,2000,"max_T_post>=2.0","declcalc0_power_C2_res_1_2000.rds"
"S5","fixed_k2.0","C3",0.05,,"C3","2","1000",0.9095,1819,2000,"max_T_post>=2.0","declcalc0_power_C3_res_1_2000.rds"
"S5","fixed_k2.0","C4",0.05,,"C4","2","1500",0.9705,1941,2000,"max_T_post>=2.0","declcalc0_power_C4_res_1_2000.rds"
"S5","claim_threshold","B1",0.05,,"B1","0.657","500",5e-04,1,2000,"declared_cal05","declcal_inull_B1_res_1_2000.rds"
"S5","claim_threshold","B2",0.05,,"B2","0.657","1000",0,0,2000,"declared_cal05","declcal_inull_B2_res_1_2000.rds"
"S5","claim_threshold","B3",0.05,,"B3","0.657","1500",0,0,2000,"declared_cal05","declcal_inull_B3_res_1_2000.rds"
"S5","claim_threshold","B4",0.05,,"B4","0.721","500",5e-04,1,2000,"declared_cal05","declcal_inull_B4_res_1_2000.rds"
"S5","claim_threshold","B5",0.05,,"B5","0.721","1000",0,0,2000,"declared_cal05","declcal_inull_B5_res_1_2000.rds"
"S5","claim_threshold","B6",0.05,,"B6","0.721","1500",0,0,2000,"declared_cal05","declcal_inull_B6_res_1_2000.rds"
"S5","claim_threshold","max_B",0.05,,"B1;B4","0.657;0.721","500",5e-04,1,2000,"declared_cal05","declcal_inull_B1_res_1_2000.rds;declcal_inull_B4_res_1_2000.rds"
"S5","claim_threshold","C1",0.05,,"C1","1.5","1000",0.0495,99,2000,"declared_cal05","declcal_power_C1_res_1_2000.rds"
"S5","claim_threshold","C2",0.05,,"C2","1.5","1500",0.0935,187,2000,"declared_cal05","declcal_power_C2_res_1_2000.rds"
"S5","claim_threshold","C3",0.05,,"C3","2","1000",0.355,710,2000,"declared_cal05","declcal_power_C3_res_1_2000.rds"
"S5","claim_threshold","C4",0.05,,"C4","2","1500",0.641,1282,2000,"declared_cal05","declcal_power_C4_res_1_2000.rds"
"S5","conventional","implied_pstar",0.05,,"B1;B2;B3;B4;B5;B6;C1;C2;C3;C4",,,0.9,,10,"meta$p_star","declcalc0_inull_B1_res_1_2000.rds;declcalc0_inull_B2_res_1_2000.rds;declcalc0_inull_B3_res_1_2000.rds;declcalc0_inull_B4_res_1_2000.rds;declcalc0_inull_B5_res_1_2000.rds;declcalc0_inull_B6_res_1_2000.rds;declcalc0_power_C1_res_1_2000.rds;declcalc0_power_C2_res_1_2000.rds;declcalc0_power_C3_res_1_2000.rds;declcalc0_power_C4_res_1_2000.rds"
"S5","fixed_k2.0","implied_pstar",0.05,,,,,0.954499736103642,,,"2*pnorm(2.0)-1",
"S5","claim_threshold","implied_pstar_pooled_median_allcells_alln",0.05,,"B1;B2;B3;B4;B5;B6;C1;C2;C3;C4",,,0.999669706313318,,20000,"2*pnorm(kappa_hat_05)-1","declcal_inull_B1_res_1_2000.rds;declcal_inull_B2_res_1_2000.rds;declcal_inull_B3_res_1_2000.rds;declcal_inull_B4_res_1_2000.rds;declcal_inull_B5_res_1_2000.rds;declcal_inull_B6_res_1_2000.rds;declcal_power_C1_res_1_2000.rds;declcal_power_C2_res_1_2000.rds;declcal_power_C3_res_1_2000.rds;declcal_power_C4_res_1_2000.rds"
